age,current_occupation,first_interaction,profile_completed,website_visits,time_spent_on_website,page_views_per_visit,last_activity,print_media_type1,print_media_type2,digital_media,educational_channels,referral,status
59,Professional,Website,High,1,1,2.039,Phone Activity,No,No,No,No,No,1
36,Professional,Mobile App,High,2,1104,3.679,Email Activity,No,No,No,No,No,0
59,Professional,Website,Medium,6,517,3.239,Email Activity,Yes,No,No,No,No,1
24,Student,Website,High,2,177,0.04,Website Activity,Yes,No,No,Yes,No,0
23,Student,Mobile App,High,7,243,3.512,Email Activity,No,No,No,No,No,0
55,Unemployed,Mobile App,High,7,2214,1.982,Email Activity,No,No,No,No,No,0
27,Professional,Mobile App,Medium,1,377,7.663,Website Activity,No,No,No,Yes,No,0
56,Unemployed,Mobile App,Medium,2,78,5.695,Email Activity,No,No,No,Yes,No,0
19,Student,Website,High,1,1158,2.141,Phone Activity,No,No,No,No,No,0
62,Unemployed,Mobile App,Medium,2,2265,2.112,Email Activity,No,No,No,No,No,0
56,Professional,Mobile App,High,2,2531,2.023,Phone Activity,No,No,No,No,No,0
51,Unemployed,Mobile App,High,2,2068,2.245,Phone Activity,No,No,No,No,No,0
34,Professional,Website,High,3,1800,2.152,Phone Activity,No,No,No,Yes,No,1
50,Professional,Mobile App,Medium,7,52,1.805,Email Activity,Yes,Yes,Yes,Yes,No,0
46,Unemployed,Mobile App,Low,7,79,3.617,Website Activity,No,No,No,No,No,0
23,Student,Website,Medium,6,203,2.03,Email Activity,No,No,No,No,No,0
55,Professional,Mobile App,High,1,390,1.45,Phone Activity,No,No,No,Yes,No,0
41,Professional,Website,High,1,1,2.267,Email Activity,No,No,No,No,No,1
59,Professional,Mobile App,High,5,419,3.362,Email Activity,No,No,No,No,No,0
58,Unemployed,Mobile App,Medium,9,299,8.858,Phone Activity,No,No,Yes,No,No,0
56,Professional,Website,High,3,80,2.132,Phone Activity,No,No,No,No,No,0
46,Unemployed,Mobile App,High,9,203,2.166,Email Activity,No,No,No,Yes,No,0
47,Unemployed,Website,High,2,314,2.06,Phone Activity,No,Yes,No,No,No,0
57,Professional,Mobile App,Medium,5,91,1.971,Email Activity,No,No,No,No,No,0
58,Professional,Mobile App,Medium,3,1,3.701,Phone Activity,No,No,No,No,No,0
57,Professional,Mobile App,High,8,68,3.099,Email Activity,No,No,No,No,No,0
47,Unemployed,Website,Medium,1,417,5.629,Website Activity,No,No,No,No,No,0
28,Professional,Mobile App,Medium,5,378,2.245,Website Activity,No,No,No,Yes,No,0
59,Professional,Website,High,0,0,0.0,Email Activity,No,No,No,No,No,1
22,Student,Website,Medium,6,2372,3.263,Phone Activity,No,No,No,No,No,0
32,Professional,Website,High,2,58,0.274,Website Activity,No,Yes,No,Yes,No,0
57,Professional,Website,Medium,5,107,3.305,Phone Activity,No,No,No,No,No,0
24,Student,Website,Medium,4,425,0.285,Email Activity,No,No,No,No,No,0
59,Professional,Mobile App,High,4,205,1.757,Email Activity,No,No,No,No,No,0
57,Professional,Website,Medium,2,680,5.361,Website Activity,No,No,No,No,No,1
56,Professional,Mobile App,High,2,152,2.216,Website Activity,No,No,No,No,No,0
60,Professional,Website,Medium,1,90,5.863,Email Activity,No,No,No,No,No,0
44,Unemployed,Mobile App,Medium,2,1234,2.261,Email Activity,No,No,No,No,No,0
32,Unemployed,Mobile App,High,2,940,5.628,Website Activity,No,No,No,Yes,No,1
60,Professional,Website,High,4,41,2.247,Email Activity,No,No,No,No,No,0
60,Professional,Website,High,3,1038,2.174,Website Activity,No,No,No,No,No,1
57,Professional,Mobile App,High,2,407,3.575,Phone Activity,No,No,Yes,No,No,0
58,Professional,Website,High,7,329,8.231,Website Activity,No,No,No,Yes,No,1
56,Professional,Mobile App,High,2,1209,8.5,Email Activity,No,No,No,No,No,0
51,Professional,Mobile App,High,5,713,0.104,Email Activity,No,No,No,No,Yes,1
55,Professional,Mobile App,High,2,1506,2.693,Email Activity,No,No,No,No,No,0
58,Professional,Mobile App,Medium,7,1492,2.407,Email Activity,No,No,No,No,No,0
32,Professional,Mobile App,High,2,362,1.402,Email Activity,Yes,No,No,No,No,0
53,Professional,Mobile App,High,2,1410,2.192,Email Activity,No,Yes,No,Yes,Yes,1
57,Professional,Website,Medium,1,164,3.085,Email Activity,No,No,No,Yes,No,0
25,Professional,Mobile App,Medium,1,1240,11.739,Website Activity,No,No,No,No,No,0
28,Professional,Mobile App,Medium,1,281,2.156,Website Activity,No,No,No,No,No,0
62,Unemployed,Website,High,7,626,0.233,Phone Activity,No,No,No,No,No,1
62,Unemployed,Website,Low,2,162,7.284,Email Activity,No,No,No,No,No,0
58,Professional,Website,Medium,4,202,3.136,Email Activity,Yes,No,No,No,No,0
57,Professional,Website,High,8,350,2.056,Email Activity,No,No,No,No,No,0
59,Unemployed,Mobile App,High,1,2335,1.827,Phone Activity,No,No,No,No,No,0
45,Professional,Website,Medium,3,1,6.996,Email Activity,No,No,No,Yes,No,0
58,Professional,Mobile App,Medium,2,1481,2.24,Email Activity,No,No,No,No,No,0
42,Professional,Mobile App,Medium,7,271,5.593,Website Activity,No,No,No,No,No,0
53,Professional,Mobile App,High,9,2443,2.066,Email Activity,No,No,No,Yes,No,0
21,Student,Mobile App,Medium,2,86,2.176,Website Activity,No,No,No,No,No,0
59,Professional,Website,High,2,1810,3.534,Website Activity,No,No,Yes,No,No,1
55,Unemployed,Website,High,1,654,0.144,Email Activity,No,No,No,No,No,1
56,Professional,Mobile App,High,3,2216,1.966,Website Activity,Yes,No,No,Yes,No,1
24,Student,Website,Medium,2,676,8.107,Email Activity,No,No,No,No,No,0
28,Professional,Mobile App,Medium,2,1921,3.383,Phone Activity,No,No,No,No,No,0
50,Professional,Website,High,1,1934,3.537,Email Activity,No,No,Yes,No,No,1
57,Professional,Website,High,5,2321,3.615,Phone Activity,No,No,No,No,No,1
56,Professional,Website,Medium,2,355,5.637,Email Activity,No,No,No,No,No,0
29,Professional,Website,Medium,5,378,1.779,Email Activity,No,No,No,No,No,0
58,Professional,Website,Medium,5,24,0.042,Email Activity,No,No,No,No,No,0
40,Professional,Website,High,2,377,3.38,Phone Activity,No,No,No,No,No,0
60,Unemployed,Mobile App,High,5,83,2.233,Email Activity,No,No,No,No,No,0
58,Unemployed,Mobile App,High,2,370,2.187,Email Activity,No,No,No,No,No,0
58,Professional,Website,Medium,4,121,1.662,Email Activity,Yes,No,No,No,No,0
23,Student,Mobile App,Low,2,237,3.368,Phone Activity,No,No,No,No,No,0
57,Professional,Mobile App,Medium,2,570,5.662,Website Activity,No,No,No,No,No,0
42,Professional,Website,Medium,3,578,2.054,Phone Activity,No,No,No,Yes,No,0
63,Unemployed,Mobile App,High,6,274,2.153,Email Activity,No,Yes,No,No,No,0
18,Student,Mobile App,Medium,2,83,3.513,Email Activity,No,No,No,No,No,0
51,Professional,Mobile App,Low,3,428,5.729,Phone Activity,No,No,No,No,No,0
23,Student,Mobile App,High,2,9,3.228,Website Activity,No,Yes,No,No,No,0
55,Professional,Mobile App,Medium,4,1871,3.661,Email Activity,No,No,Yes,No,No,0
56,Unemployed,Website,High,3,614,2.855,Email Activity,No,No,No,No,No,1
59,Unemployed,Website,Medium,1,34,2.158,Email Activity,No,No,No,No,No,0
32,Unemployed,Mobile App,High,7,235,3.574,Email Activity,No,No,No,Yes,No,0
35,Unemployed,Website,High,6,253,3.611,Email Activity,No,No,No,No,No,0
60,Unemployed,Mobile App,Medium,4,1589,0.171,Phone Activity,No,No,No,No,No,0
21,Student,Website,Low,8,372,0.216,Email Activity,No,No,No,No,No,0
57,Unemployed,Mobile App,Medium,13,326,2.106,Phone Activity,No,No,No,No,No,0
41,Professional,Mobile App,Medium,5,2150,0.12,Website Activity,No,No,No,No,No,1
56,Professional,Website,Medium,2,1549,2.216,Phone Activity,No,No,No,Yes,No,0
35,Unemployed,Website,Medium,2,1937,5.111,Email Activity,No,No,Yes,No,No,0
45,Professional,Website,Medium,2,457,3.755,Email Activity,No,No,No,No,No,1
56,Professional,Website,Medium,4,357,1.963,Email Activity,No,No,No,No,No,0
42,Professional,Mobile App,High,2,463,2.168,Website Activity,No,No,Yes,No,No,0
58,Unemployed,Website,Low,1,376,3.592,Website Activity,No,No,No,No,No,0
48,Unemployed,Mobile App,High,4,1147,6.023,Email Activity,No,No,No,Yes,Yes,0
30,Professional,Website,High,1,780,1.671,Phone Activity,No,No,Yes,Yes,No,1
42,Professional,Mobile App,High,5,264,7.514,Phone Activity,No,No,No,No,No,0
45,Professional,Website,High,2,44,2.252,Website Activity,Yes,Yes,No,No,No,1
47,Professional,Website,High,1,73,1.5,Website Activity,No,No,Yes,No,No,0
43,Professional,Website,High,8,74,2.238,Website Activity,No,No,No,No,No,0
55,Professional,Mobile App,High,3,1917,0.331,Phone Activity,No,No,No,No,No,0
58,Unemployed,Website,Medium,6,1785,0.227,Email Activity,No,No,No,No,No,0
63,Unemployed,Website,High,1,296,0.351,Phone Activity,No,No,No,No,No,0
58,Unemployed,Mobile App,High,1,406,0.192,Email Activity,No,No,Yes,No,No,0
32,Unemployed,Website,High,8,2383,2.834,Website Activity,No,No,No,No,No,1
56,Unemployed,Website,High,3,1,3.512,Email Activity,No,No,No,No,No,0
57,Unemployed,Website,High,1,1832,3.625,Website Activity,No,No,No,Yes,No,1
46,Professional,Mobile App,High,2,33,2.607,Email Activity,No,No,No,No,No,0
49,Professional,Website,High,5,270,6.737,Email Activity,No,No,No,No,No,1
45,Unemployed,Mobile App,Medium,0,0,0.0,Phone Activity,Yes,Yes,No,No,No,0
38,Unemployed,Mobile App,High,3,222,0.268,Website Activity,No,No,Yes,No,No,0
23,Student,Website,High,6,1734,1.912,Email Activity,No,Yes,No,No,No,0
53,Professional,Website,High,3,655,2.747,Email Activity,No,No,No,No,No,1
55,Professional,Website,Medium,13,949,3.647,Website Activity,No,No,No,No,No,0
37,Professional,Website,Medium,0,0,0.0,Phone Activity,No,No,Yes,Yes,No,0
57,Unemployed,Website,High,1,415,2.245,Phone Activity,No,No,No,No,No,0
59,Professional,Website,High,2,354,0.267,Email Activity,No,No,Yes,No,No,1
59,Professional,Mobile App,Medium,1,561,0.224,Email Activity,No,No,No,No,No,1
57,Unemployed,Website,Medium,5,261,3.432,Email Activity,No,No,No,No,No,0
52,Unemployed,Website,High,2,2057,0.214,Email Activity,No,No,No,No,No,1
58,Professional,Mobile App,Medium,15,73,3.489,Phone Activity,No,No,No,No,No,0
58,Unemployed,Website,High,1,373,2.264,Email Activity,No,No,No,No,No,0
38,Unemployed,Mobile App,Medium,1,301,1.31,Website Activity,No,No,No,No,No,0
60,Professional,Mobile App,Medium,1,51,2.115,Website Activity,No,No,Yes,No,No,0
41,Unemployed,Mobile App,Medium,6,358,1.102,Email Activity,No,No,No,No,No,0
46,Unemployed,Website,Medium,2,333,2.185,Phone Activity,No,No,No,Yes,No,0
60,Professional,Mobile App,Medium,6,1649,2.138,Email Activity,No,No,No,No,No,0
21,Student,Mobile App,Medium,1,63,3.525,Email Activity,No,No,No,No,No,0
50,Professional,Website,High,2,1686,1.965,Email Activity,No,No,No,Yes,No,1
18,Student,Website,Medium,6,364,3.606,Phone Activity,No,No,No,No,No,0
25,Professional,Mobile App,Medium,4,142,2.122,Website Activity,No,No,No,No,No,0
59,Unemployed,Website,Medium,10,196,3.35,Email Activity,No,No,Yes,No,No,0
56,Professional,Mobile App,Medium,5,440,0.116,Phone Activity,No,No,No,No,No,0
60,Professional,Website,Medium,8,287,0.164,Website Activity,No,No,No,No,No,0
54,Professional,Website,Medium,7,1908,2.183,Phone Activity,No,No,No,No,No,0
45,Professional,Website,High,1,348,0.166,Website Activity,Yes,No,No,No,No,1
32,Unemployed,Website,High,1,928,0.274,Email Activity,No,No,No,No,No,0
63,Unemployed,Mobile App,High,0,0,0.0,Phone Activity,No,No,No,No,No,0
36,Unemployed,Website,Medium,4,294,0.102,Phone Activity,No,No,No,No,No,0
32,Professional,Website,High,4,622,0.194,Website Activity,No,No,No,No,No,1
42,Professional,Website,High,5,1193,2.113,Website Activity,No,No,No,No,No,1
44,Professional,Website,Medium,1,1839,0.11,Email Activity,No,No,No,No,No,1
58,Professional,Mobile App,Medium,2,496,3.561,Website Activity,No,No,No,No,No,0
59,Professional,Website,Medium,2,837,3.435,Website Activity,No,No,No,Yes,No,1
43,Professional,Mobile App,Medium,3,65,3.115,Phone Activity,No,No,No,No,No,0
22,Student,Mobile App,High,3,604,3.588,Email Activity,No,No,No,Yes,No,0
56,Unemployed,Website,High,4,1392,3.45,Email Activity,No,No,No,No,No,1
55,Unemployed,Mobile App,High,6,348,2.095,Email Activity,No,No,No,No,No,0
59,Unemployed,Website,High,2,85,3.891,Email Activity,No,No,No,No,No,1
56,Professional,Website,High,3,362,3.794,Email Activity,Yes,No,No,No,No,0
41,Unemployed,Website,Medium,2,6,1.989,Website Activity,No,No,No,No,No,0
56,Professional,Mobile App,Medium,2,341,2.093,Website Activity,No,No,No,No,No,0
29,Professional,Website,Medium,3,1896,0.217,Phone Activity,No,No,No,No,Yes,0
59,Unemployed,Mobile App,Medium,3,679,2.197,Website Activity,No,No,Yes,Yes,No,1
59,Professional,Mobile App,High,8,243,2.169,Email Activity,No,No,No,No,No,0
58,Unemployed,Website,Medium,1,4,5.261,Email Activity,No,No,No,No,No,0
59,Professional,Website,High,1,2065,2.125,Phone Activity,No,No,No,No,No,1
40,Professional,Website,Medium,2,84,2.224,Email Activity,No,No,No,No,No,0
60,Professional,Mobile App,Medium,2,1844,8.68,Phone Activity,No,No,No,No,No,0
58,Unemployed,Mobile App,Medium,1,907,0.026,Website Activity,No,No,No,Yes,No,0
56,Professional,Mobile App,High,3,359,3.225,Email Activity,No,No,No,No,No,0
56,Professional,Website,Medium,2,315,2.335,Email Activity,No,No,No,No,No,0
60,Professional,Mobile App,High,5,138,3.661,Website Activity,No,No,No,No,No,0
45,Unemployed,Website,High,6,333,3.638,Email Activity,No,No,No,No,No,0
18,Student,Mobile App,Medium,1,156,2.48,Email Activity,No,No,Yes,No,No,0
57,Unemployed,Website,High,7,700,1.985,Phone Activity,No,No,No,Yes,No,1
58,Unemployed,Website,High,3,24,2.264,Phone Activity,No,No,No,No,No,1
24,Student,Website,Medium,2,1635,4.101,Phone Activity,No,No,No,No,No,0
36,Unemployed,Mobile App,Medium,4,412,3.822,Website Activity,Yes,No,No,No,No,0
59,Professional,Mobile App,Medium,2,1342,2.073,Phone Activity,No,No,No,No,No,0
32,Unemployed,Mobile App,Medium,2,1430,3.805,Email Activity,No,No,No,No,Yes,0
38,Professional,Website,Medium,1,2160,3.773,Phone Activity,No,No,No,No,No,0
37,Unemployed,Website,Medium,3,547,1.968,Website Activity,No,No,No,No,No,1
57,Professional,Mobile App,Medium,8,432,2.176,Website Activity,No,No,No,No,No,0
59,Professional,Website,High,5,1908,3.331,Phone Activity,No,No,Yes,No,No,1
56,Professional,Mobile App,Medium,2,55,3.802,Email Activity,No,No,Yes,No,No,0
49,Professional,Website,Medium,8,1203,0.034,Website Activity,No,No,No,Yes,No,1
32,Unemployed,Mobile App,Medium,7,1598,2.708,Email Activity,No,Yes,No,No,No,1
58,Unemployed,Mobile App,High,3,2254,5.135,Phone Activity,No,No,No,No,No,0
47,Professional,Website,High,2,644,0.117,Phone Activity,No,No,No,No,No,0
53,Unemployed,Mobile App,Medium,6,1454,2.092,Email Activity,No,No,No,No,No,1
51,Professional,Mobile App,Medium,9,2147,3.3,Email Activity,No,No,No,Yes,No,0
43,Professional,Website,High,2,339,3.632,Phone Activity,No,No,No,No,No,1
38,Professional,Mobile App,High,4,46,2.976,Email Activity,No,No,No,No,No,0
25,Professional,Mobile App,Medium,3,429,3.535,Website Activity,No,No,No,No,No,1
33,Unemployed,Mobile App,Medium,2,489,3.95,Website Activity,No,No,No,No,No,1
41,Professional,Mobile App,High,4,337,0.166,Email Activity,No,No,No,No,No,0
52,Professional,Mobile App,Medium,1,400,2.069,Email Activity,No,No,No,Yes,No,0
51,Professional,Mobile App,Medium,5,169,2.2,Email Activity,No,No,No,No,No,0
61,Unemployed,Website,Medium,2,1299,3.27,Email Activity,No,No,No,No,Yes,0
46,Unemployed,Website,Medium,3,1,1.962,Phone Activity,No,No,No,No,No,0
48,Professional,Website,High,3,386,1.949,Website Activity,No,No,No,Yes,No,1
57,Professional,Website,Medium,1,688,2.192,Email Activity,Yes,No,Yes,No,No,1
60,Unemployed,Mobile App,High,3,501,3.149,Phone Activity,No,No,No,No,No,1
60,Professional,Website,High,5,1567,2.148,Email Activity,No,No,No,No,No,1
18,Student,Mobile App,High,3,1869,3.668,Email Activity,No,No,No,No,No,0
52,Professional,Website,Medium,2,378,3.344,Phone Activity,No,No,No,No,No,0
39,Unemployed,Mobile App,High,3,1579,2.173,Website Activity,No,No,No,No,No,1
58,Professional,Mobile App,Medium,4,1023,0.16,Website Activity,Yes,No,No,No,No,1
58,Professional,Website,Medium,5,194,2.106,Email Activity,No,No,No,No,No,0
59,Professional,Website,Medium,6,104,2.865,Website Activity,No,Yes,No,Yes,No,0
55,Professional,Website,Medium,1,1288,2.083,Email Activity,No,No,No,No,No,1
57,Professional,Website,Medium,2,292,2.559,Website Activity,Yes,Yes,No,No,No,0
42,Unemployed,Mobile App,Medium,2,228,6.632,Website Activity,No,No,No,No,No,0
42,Professional,Website,High,4,390,3.561,Website Activity,Yes,No,No,Yes,No,1
35,Unemployed,Mobile App,High,5,2099,3.051,Phone Activity,No,No,Yes,No,No,1
55,Unemployed,Mobile App,Medium,4,28,4.038,Phone Activity,No,No,No,No,No,0
63,Unemployed,Mobile App,Medium,2,4,0.194,Email Activity,No,No,No,No,No,0
55,Professional,Mobile App,Medium,6,417,3.807,Phone Activity,No,No,No,No,No,0
56,Unemployed,Website,Medium,6,2095,1.655,Email Activity,No,No,No,No,No,0
60,Unemployed,Website,Low,1,329,2.171,Phone Activity,No,No,Yes,No,No,0
57,Professional,Mobile App,High,6,1989,2.159,Phone Activity,No,No,Yes,No,No,0
57,Professional,Website,High,3,441,3.751,Phone Activity,No,Yes,No,No,No,1
24,Student,Mobile App,Medium,7,356,3.814,Phone Activity,Yes,No,No,Yes,No,0
58,Professional,Website,Medium,4,69,3.249,Email Activity,No,No,No,No,No,0
46,Unemployed,Website,Medium,3,202,5.791,Website Activity,No,No,No,No,No,0
42,Professional,Website,High,2,544,7.126,Website Activity,No,No,No,No,No,1
22,Student,Mobile App,High,2,514,0.168,Phone Activity,No,No,No,Yes,No,0
42,Unemployed,Mobile App,High,6,322,3.16,Email Activity,No,No,No,No,No,0
32,Unemployed,Mobile App,Medium,3,702,2.102,Phone Activity,No,No,No,No,No,0
55,Professional,Website,Medium,2,340,3.316,Phone Activity,No,No,No,No,No,0
57,Unemployed,Website,High,4,59,0.118,Email Activity,No,No,No,Yes,No,0
57,Unemployed,Mobile App,High,2,1767,2.192,Email Activity,No,No,No,Yes,No,0
50,Unemployed,Mobile App,High,1,1766,2.2,Phone Activity,No,No,No,No,No,1
27,Professional,Website,Medium,1,2019,3.638,Email Activity,No,No,Yes,No,No,1
60,Professional,Mobile App,High,2,125,2.922,Email Activity,No,No,No,Yes,No,0
62,Unemployed,Website,High,1,97,3.182,Website Activity,Yes,No,No,No,No,1
41,Professional,Mobile App,High,9,690,2.172,Email Activity,No,No,No,No,No,0
54,Professional,Website,Medium,7,55,2.203,Phone Activity,No,No,No,No,No,0
42,Unemployed,Mobile App,High,3,435,0.331,Email Activity,No,No,No,Yes,No,0
58,Professional,Website,Medium,2,1955,3.526,Phone Activity,No,No,No,No,No,1
59,Professional,Website,High,5,1420,0.275,Email Activity,No,No,No,Yes,No,1
41,Unemployed,Website,High,1,222,2.119,Website Activity,No,No,No,No,No,0
59,Unemployed,Website,High,3,2160,3.624,Email Activity,No,No,No,No,No,1
23,Student,Website,Medium,3,393,3.385,Website Activity,No,No,No,No,No,0
32,Unemployed,Website,High,2,2238,2.981,Email Activity,No,No,No,No,No,1
24,Student,Mobile App,High,2,419,2.118,Email Activity,No,No,No,No,No,0
35,Professional,Website,High,2,1013,1.987,Phone Activity,No,No,No,Yes,No,0
51,Professional,Website,High,2,91,2.284,Email Activity,No,No,No,No,No,1
55,Professional,Website,High,7,1307,1.595,Email Activity,No,No,No,No,No,1
44,Professional,Website,High,1,670,2.17,Email Activity,No,No,No,No,No,1
20,Student,Mobile App,High,7,189,2.135,Email Activity,No,No,No,No,No,0
58,Professional,Mobile App,Medium,2,1846,2.246,Phone Activity,No,No,No,No,No,0
41,Professional,Website,Medium,3,2050,1.972,Website Activity,Yes,No,No,No,No,1
63,Unemployed,Website,Medium,2,2346,2.184,Email Activity,No,No,No,No,No,1
60,Unemployed,Website,Medium,2,69,2.177,Phone Activity,No,No,No,Yes,No,0
36,Unemployed,Website,High,2,2209,2.154,Email Activity,Yes,No,No,No,No,1
47,Unemployed,Website,High,2,65,1.0,Phone Activity,No,No,No,No,No,0
57,Unemployed,Website,High,2,237,3.767,Phone Activity,No,No,No,No,No,1
36,Unemployed,Website,High,1,1586,5.599,Email Activity,No,No,No,Yes,No,1
57,Professional,Website,Medium,2,1953,1.746,Website Activity,No,No,No,Yes,No,1
45,Unemployed,Mobile App,Medium,6,292,0.159,Email Activity,No,No,No,No,No,0
57,Professional,Website,Medium,1,1347,0.062,Phone Activity,No,No,No,No,No,1
28,Professional,Website,Medium,1,328,1.989,Website Activity,No,No,No,No,No,0
19,Student,Mobile App,High,6,198,1.855,Email Activity,No,No,No,No,No,0
49,Professional,Website,Medium,4,308,2.173,Website Activity,Yes,No,Yes,Yes,No,0
48,Professional,Mobile App,Medium,4,346,3.533,Email Activity,No,No,No,No,No,0
37,Unemployed,Website,Medium,2,64,4.731,Email Activity,No,No,Yes,Yes,No,0
56,Professional,Mobile App,Medium,1,1706,2.228,Phone Activity,No,No,No,No,No,0
22,Student,Website,Medium,2,307,5.315,Phone Activity,No,No,No,No,No,0
57,Professional,Website,High,1,653,2.282,Website Activity,No,No,No,No,No,1
42,Unemployed,Mobile App,High,2,1359,2.236,Email Activity,No,No,No,No,No,0
22,Student,Mobile App,Medium,2,1296,3.779,Email Activity,No,No,No,Yes,No,0
55,Unemployed,Website,High,3,1736,2.123,Email Activity,No,No,No,No,No,1
57,Unemployed,Mobile App,High,2,966,2.191,Phone Activity,Yes,No,No,No,No,0
56,Unemployed,Website,Medium,4,2227,3.232,Phone Activity,No,No,No,No,No,0
59,Professional,Mobile App,High,5,578,2.228,Website Activity,No,No,No,No,No,0
47,Professional,Mobile App,Medium,10,462,0.296,Email Activity,No,No,No,No,No,1
55,Unemployed,Website,Medium,2,5,5.39,Website Activity,No,Yes,No,No,No,0
56,Professional,Website,High,2,2013,2.191,Email Activity,No,No,Yes,No,No,1
60,Unemployed,Mobile App,High,2,187,4.971,Website Activity,No,No,No,No,No,0
47,Professional,Website,Medium,1,184,3.212,Email Activity,Yes,No,No,Yes,No,0
58,Professional,Mobile App,Medium,2,185,3.976,Phone Activity,No,No,Yes,No,No,0
59,Professional,Website,High,3,1817,2.09,Website Activity,No,No,No,No,No,1
40,Professional,Website,Medium,1,387,2.767,Phone Activity,No,No,No,No,No,0
42,Unemployed,Website,High,2,67,0.216,Email Activity,No,No,No,No,No,0
20,Student,Mobile App,Medium,2,392,0.082,Phone Activity,No,No,No,No,No,0
42,Professional,Website,High,2,255,0.161,Phone Activity,Yes,No,No,No,No,1
58,Professional,Mobile App,High,6,376,3.565,Email Activity,No,No,No,No,No,0
51,Professional,Mobile App,Medium,2,2324,2.165,Email Activity,No,No,No,No,No,0
47,Professional,Website,Medium,5,245,2.178,Website Activity,No,No,No,No,No,0
51,Professional,Mobile App,Medium,0,0,0.0,Email Activity,No,No,No,No,No,0
58,Professional,Mobile App,High,1,86,5.193,Email Activity,No,No,No,No,No,0
58,Unemployed,Mobile App,High,1,1760,2.065,Email Activity,No,No,No,No,No,0
48,Professional,Website,Medium,3,373,2.268,Email Activity,Yes,No,No,No,No,0
34,Professional,Mobile App,High,5,25,2.12,Phone Activity,No,No,No,Yes,No,0
50,Professional,Website,Medium,1,296,3.503,Email Activity,Yes,No,No,No,No,0
59,Professional,Website,High,1,681,0.136,Email Activity,No,No,No,No,No,1
22,Student,Website,High,3,130,5.813,Phone Activity,No,No,No,No,No,0
35,Professional,Mobile App,Medium,2,291,3.736,Email Activity,No,No,No,Yes,No,0
42,Professional,Website,High,1,64,0.134,Email Activity,No,Yes,No,Yes,No,1
45,Professional,Website,Medium,1,2130,3.69,Email Activity,No,No,Yes,No,No,1
58,Professional,Mobile App,Medium,2,71,2.255,Email Activity,Yes,No,No,No,No,0
58,Professional,Mobile App,Medium,3,649,2.131,Phone Activity,No,Yes,Yes,Yes,No,0
42,Professional,Mobile App,High,3,342,3.5,Website Activity,No,No,No,Yes,No,0
57,Unemployed,Website,Medium,3,2260,2.137,Website Activity,No,No,No,No,No,1
23,Student,Mobile App,High,5,1856,2.236,Email Activity,No,No,No,Yes,No,0
42,Professional,Mobile App,Medium,13,1518,4.287,Phone Activity,No,No,No,No,No,0
58,Professional,Website,Medium,14,82,2.186,Phone Activity,No,No,No,Yes,No,0
50,Unemployed,Mobile App,High,0,0,0.0,Email Activity,No,No,No,No,No,0
44,Unemployed,Website,Medium,3,1579,1.992,Website Activity,No,No,No,No,No,1
45,Unemployed,Mobile App,Medium,2,179,5.483,Email Activity,Yes,No,No,Yes,No,0
58,Professional,Website,High,0,0,0.0,Phone Activity,No,No,No,No,No,1
52,Professional,Website,High,2,1,3.685,Website Activity,No,No,No,Yes,No,1
55,Professional,Website,Medium,1,503,0.125,Email Activity,No,No,No,No,No,1
49,Professional,Website,Medium,10,900,4.988,Email Activity,No,No,No,No,No,1
56,Professional,Mobile App,Medium,8,300,2.15,Phone Activity,Yes,No,No,Yes,No,0
52,Professional,Mobile App,Medium,2,2017,3.708,Email Activity,No,No,No,No,No,0
52,Professional,Website,High,2,1966,1.964,Email Activity,No,No,No,No,No,1
60,Unemployed,Website,Medium,2,2180,0.332,Website Activity,Yes,No,No,No,No,0
50,Professional,Website,Medium,7,2151,0.183,Email Activity,No,No,No,No,No,1
57,Professional,Website,High,1,1778,6.586,Phone Activity,No,No,Yes,No,No,0
42,Unemployed,Mobile App,High,0,0,0.0,Email Activity,No,No,No,No,No,0
59,Professional,Website,High,1,317,2.192,Website Activity,No,No,Yes,No,No,1
46,Unemployed,Website,Medium,5,8,0.111,Email Activity,No,No,No,No,No,0
37,Unemployed,Website,High,0,0,0.0,Email Activity,No,No,No,No,No,0
59,Professional,Mobile App,Medium,5,409,2.216,Email Activity,Yes,No,No,No,No,0
51,Unemployed,Website,High,2,789,5.079,Email Activity,Yes,No,No,Yes,No,1
56,Unemployed,Mobile App,Medium,2,10,0.295,Website Activity,No,No,No,No,No,0
20,Student,Mobile App,High,6,240,3.789,Phone Activity,No,No,Yes,Yes,No,0
19,Student,Website,High,6,52,3.88,Phone Activity,No,No,No,No,No,0
18,Student,Website,High,3,2062,3.017,Email Activity,No,No,No,No,No,1
19,Student,Mobile App,Medium,3,1465,1.556,Email Activity,No,No,No,No,No,0
41,Professional,Mobile App,Medium,2,277,2.147,Phone Activity,No,No,No,No,No,0
59,Unemployed,Mobile App,High,2,424,3.689,Email Activity,No,No,No,Yes,No,0
56,Professional,Website,High,3,52,3.113,Phone Activity,No,No,No,Yes,No,1
22,Student,Mobile App,Medium,3,1301,0.241,Phone Activity,No,No,No,No,No,0
55,Unemployed,Website,Medium,1,77,3.243,Website Activity,No,No,No,No,No,0
57,Unemployed,Mobile App,High,1,2421,3.154,Phone Activity,No,No,No,No,No,1
55,Professional,Website,High,3,1774,6.44,Phone Activity,No,No,No,No,No,1
60,Professional,Website,High,8,337,1.973,Email Activity,No,No,No,No,No,0
